2023-05-30 00:01:13,814 category: jira.header.menu.admin, apdex: {apdexScore=100, satisfiedCount=3, toleratingCount=0, frustratedCount=0}
2023-05-30 00:01:14,696 category: jira.project.issue.view-issue, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2023-05-30 00:01:14,718 category: jira.header.menu.issues, apdex: {apdexScore=100, satisfiedCount=4, toleratingCount=0, frustratedCount=0}
2023-05-30 00:01:14,719 category: jira.project.issue.nav-detail, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=2}
2023-05-30 00:01:14,719 category: jira.dialog.open.create-issue-dialog, apdex: {apdexScore=25, satisfiedCount=0, toleratingCount=1, frustratedCount=1}
2023-05-30 00:01:14,719 category: jira.administration.project.summary, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=2}
2023-05-30 00:01:14,720 category: jira.dashboard, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2023-05-30 00:01:14,720 category: jira.header.menu.projects, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2023-05-30 00:01:14,720 category: overall, apdex: {apdexScore=55, satisfiedCount=9, toleratingCount=1, frustratedCount=7}
2023-05-30 00:01:14,720 category: jira.header.menu.help, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2023-05-30 05:01:01,865 category: jira.project.issue.nav-detail, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2023-05-30 05:01:01,925 category: jira.project.issue.view-issue, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=2}
2023-05-30 05:01:01,925 category: jira.dialog.open.whereismycf-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2023-05-30 05:01:01,926 category: jira.dashboard, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=6}
2023-05-30 05:01:01,926 category: overall, apdex: {apdexScore=6, satisfiedCount=1, toleratingCount=0, frustratedCount=15}
2023-05-30 05:01:01,926 category: jira.gadgets.iframe.activity-stream, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=6}
2023-06-02 22:01:03,019 category: jira.project.issue.nav-detail, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=3}
2023-06-02 22:01:03,094 category: jira.project.issue.view-issue, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2023-06-02 22:01:03,095 category: overall, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=5}
2023-06-02 22:01:03,095 category: jira.issue.nav-detail, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2023-06-02 23:01:00,399 category: jira.project.issue.nav-detail, apdex: {apdexScore=33, satisfiedCount=1, toleratingCount=0, frustratedCount=2}
2023-06-02 23:01:00,913 category: jira.project.issue.view-issue, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2023-06-02 23:01:00,915 category: jira.issue.nav-detail, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2023-06-02 23:01:00,915 category: jira.dashboard, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2023-06-02 23:01:00,923 category: overall, apdex: {apdexScore=12, satisfiedCount=1, toleratingCount=0, frustratedCount=7}
2023-06-02 23:01:00,924 category: jira.gadgets.iframe.activity-stream, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=2}
2023-06-03 01:01:00,267 category: jira.project.issue.nav-detail, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2023-06-03 01:01:00,798 category: overall, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2023-06-03 23:01:03,246 category: jira.project.issue.nav-detail, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=2}
2023-06-03 23:01:03,283 category: overall, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=2}
2023-06-04 00:01:00,139 category: jira.project.issue.view-issue, apdex: {apdexScore=12, satisfiedCount=0, toleratingCount=1, frustratedCount=3}
2023-06-04 00:01:00,637 category: jira.project.issue.nav-detail, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2023-06-04 00:01:00,637 category: jira.dashboard, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=3}
2023-06-04 00:01:00,637 category: jira.header.menu.projects, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2023-06-04 00:01:00,638 category: overall, apdex: {apdexScore=16, satisfiedCount=1, toleratingCount=2, frustratedCount=9}
2023-06-04 00:01:00,638 category: jira.header.menu.dashboards, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2023-06-04 00:01:00,639 category: jira.gadgets.iframe.activity-stream, apdex: {apdexScore=25, satisfiedCount=0, toleratingCount=1, frustratedCount=1}
2023-06-04 02:01:00,087 category: jira.header.menu.issues, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2023-06-04 02:01:00,590 category: overall, apdex: {apdexScore=25, satisfiedCount=0, toleratingCount=1, frustratedCount=1}
2023-06-04 02:01:00,590 category: jira.issue.nav-detail, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
