2023-05-29 23:22:22,968 pool-10-thread-1 INFO      [atlassian-diagnostics-data-logger] 1685391742725 ; INFO ; JQL ; JQL-1001 ; diagnostics.jql.slow_jql_query_info.summary ; not-detected ;  ;  ; {"thread":"Caesium-1-4","query":"order by updated DESC","reason":{"query":{"whereClause":null,"orderByClause":{"searchSorts":[{"order":"DESC","field":"updated","property":{"defined":false,"empty":true,"orNull":null},"sortOrder":"DESC","reverse":true}]},"queryString":null},"numberOfClausesInQuery":1,"executionTime":504,"numberOfResults":0,"collectorType":"TopDocs","name":"com.atlassian.jira.issue.search.metrics.LuceneQueryExecutionEvent"}}
2023-05-29 23:34:29,439 pool-10-thread-1 INFO      [atlassian-diagnostics-data-logger] 1685392469157 ; INFO ; JQL ; JQL-1001 ; diagnostics.jql.slow_jql_query_info.summary ; not-detected ;  ;  ; {"thread":"http-nio-2990-exec-8","query":"project = \"TES\" AND resolution = Unresolved ORDER BY priority DESC, updated DESC","reason":{"query":{"whereClause":{"clauses":[{"name":"project","operator":"EQUALS","operand":{"longValue":null,"stringValue":"TES","name":"SingleValueOperand","displayString":"\"TES\""},"property":{"defined":false,"empty":true,"orNull":null},"clauses":[]},{"name":"resolution","operator":"EQUALS","operand":{"longValue":null,"stringValue":"Unresolved","name":"SingleValueOperand","displayString":"\"Unresolved\""},"property":{"defined":false,"empty":true,"orNull":null},"clauses":[]}],"name":"AND"},"orderByClause":{"searchSorts":[{"order":"DESC","field":"priority","property":{"defined":false,"empty":true,"orNull":null},"sortOrder":"DESC","reverse":true},{"order":"DESC","field":"updated","property":{"defined":false,"empty":true,"orNull":null},"sortOrder":"DESC","reverse":true}]},"queryString":"project = \"TES\" AND resolution = Unresolved ORDER BY priority DESC, updated DESC"},"numberOfClausesInQuery":2,"executionTime":1291,"numberOfResults":6,"collectorType":"TopDocs","name":"com.atlassian.jira.issue.search.metrics.LuceneQueryExecutionEvent"}}
2023-05-30 03:48:54,383 pool-9-thread-1 INFO      [atlassian-diagnostics-data-logger] 1685407733859 ; INFO ; JQL ; JQL-1001 ; diagnostics.jql.slow_jql_query_info.summary ; not-detected ;  ;  ; {"thread":"Caesium-1-3","query":"order by updated DESC","reason":{"query":{"whereClause":null,"orderByClause":{"searchSorts":[{"order":"DESC","field":"updated","property":{"defined":false,"empty":true,"orNull":null},"reverse":true,"sortOrder":"DESC"}]},"queryString":null},"numberOfClausesInQuery":1,"executionTime":445,"numberOfResults":6,"collectorType":"TopDocs","name":"com.atlassian.jira.issue.search.metrics.LuceneQueryExecutionEvent"}}
2023-05-30 04:06:45,573 pool-9-thread-1 INFO      [atlassian-diagnostics-data-logger] 1685408804975 ; INFO ; JQL ; JQL-1001 ; diagnostics.jql.slow_jql_query_info.summary ; not-detected ;  ;  ; {"thread":"Caesium-1-4","query":"order by updated DESC","reason":{"query":{"whereClause":null,"orderByClause":{"searchSorts":[{"order":"DESC","field":"updated","property":{"defined":false,"empty":true,"orNull":null},"sortOrder":"DESC","reverse":true}]},"queryString":null},"numberOfClausesInQuery":1,"executionTime":834,"numberOfResults":6,"collectorType":"TopDocs","name":"com.atlassian.jira.issue.search.metrics.LuceneQueryExecutionEvent"}}
2023-05-30 04:13:19,449 pool-9-thread-1 INFO      [atlassian-diagnostics-data-logger] 1685409199371 ; INFO ; JQL ; JQL-1001 ; diagnostics.jql.slow_jql_query_info.summary ; not-detected ;  ;  ; {"thread":"http-nio-2990-exec-8","query":"{assignee = currentUser()} AND {resolution = \"unresolved\"} order by priority DESC,created ASC","reason":{"query":{"whereClause":{"clauses":[{"name":"assignee","operator":"EQUALS","operand":{"name":"currentUser","args":[],"displayString":"currentUser()"},"property":{"defined":false,"empty":true,"orNull":null},"clauses":[]},{"name":"resolution","operator":"EQUALS","operand":{"longValue":null,"stringValue":"unresolved","name":"SingleValueOperand","displayString":"\"unresolved\""},"property":{"defined":false,"empty":true,"orNull":null},"clauses":[]}],"name":"AND"},"orderByClause":{"searchSorts":[{"order":"DESC","field":"priority","property":{"defined":false,"empty":true,"orNull":null},"sortOrder":"DESC","reverse":true},{"order":"ASC","field":"created","property":{"defined":false,"empty":true,"orNull":null},"sortOrder":"ASC","reverse":false}]},"queryString":null},"numberOfClausesInQuery":2,"executionTime":760,"numberOfResults":6,"collectorType":"TopDocs","name":"com.atlassian.jira.issue.search.metrics.LuceneQueryExecutionEvent"}}
2023-05-30 04:18:49,848 pool-9-thread-1 INFO      [atlassian-diagnostics-data-logger] 1685409529711 ; INFO ; JQL ; JQL-1001 ; diagnostics.jql.slow_jql_query_info.summary ; not-detected ;  ;  ; {"thread":"http-nio-2990-exec-4","query":"{assignee = currentUser()} AND {resolution = \"unresolved\"} order by priority DESC,created ASC","reason":{"query":{"whereClause":{"clauses":[{"name":"assignee","operator":"EQUALS","operand":{"name":"currentUser","args":[],"displayString":"currentUser()"},"property":{"defined":false,"empty":true,"orNull":null},"clauses":[]},{"name":"resolution","operator":"EQUALS","operand":{"longValue":null,"stringValue":"unresolved","name":"SingleValueOperand","displayString":"\"unresolved\""},"property":{"defined":false,"empty":true,"orNull":null},"clauses":[]}],"name":"AND"},"orderByClause":{"searchSorts":[{"order":"DESC","field":"priority","property":{"defined":false,"empty":true,"orNull":null},"sortOrder":"DESC","reverse":true},{"order":"ASC","field":"created","property":{"defined":false,"empty":true,"orNull":null},"sortOrder":"ASC","reverse":false}]},"queryString":null},"numberOfClausesInQuery":2,"executionTime":643,"numberOfResults":6,"collectorType":"TopDocs","name":"com.atlassian.jira.issue.search.metrics.LuceneQueryExecutionEvent"}}
2023-05-30 04:29:33,248 pool-9-thread-1 INFO      [atlassian-diagnostics-data-logger] 1685410172996 ; INFO ; JQL ; JQL-1001 ; diagnostics.jql.slow_jql_query_info.summary ; not-detected ;  ;  ; {"thread":"http-nio-2990-exec-27","query":"{project = 10000} AND {assignee != EMPTY} AND {updated >= \"-1w\"} order by updated DESC","reason":{"query":{"whereClause":{"clauses":[{"name":"project","operator":"EQUALS","operand":{"longValue":10000,"stringValue":null,"name":"SingleValueOperand","displayString":"10000"},"property":{"defined":false,"empty":true,"orNull":null},"clauses":[]},{"name":"assignee","operator":"NOT_EQUALS","operand":{"name":"EMPTY","displayString":"EMPTY"},"property":{"defined":false,"empty":true,"orNull":null},"clauses":[]},{"name":"updated","operator":"GREATER_THAN_EQUALS","operand":{"longValue":null,"stringValue":"-1w","name":"SingleValueOperand","displayString":"\"-1w\""},"property":{"defined":false,"empty":true,"orNull":null},"clauses":[]}],"name":"AND"},"orderByClause":{"searchSorts":[{"order":"DESC","field":"updated","property":{"defined":false,"empty":true,"orNull":null},"sortOrder":"DESC","reverse":true}]},"queryString":null},"numberOfClausesInQuery":4,"executionTime":1835,"numberOfResults":6,"collectorType":"TopDocs","name":"com.atlassian.jira.issue.search.metrics.LuceneQueryExecutionEvent"}}
2023-06-02 21:13:17,699 pool-9-thread-1 INFO ServiceRunner     [atlassian-diagnostics-data-logger] 1685729596899 ; INFO ; JQL ; JQL-1001 ; diagnostics.jql.slow_jql_query_info.summary ; not-detected ;  ;  ; {"thread":"Caesium-1-1","query":"order by updated DESC","reason":{"query":{"whereClause":null,"orderByClause":{"searchSorts":[{"order":"DESC","field":"updated","property":{"defined":false,"empty":true,"orNull":null},"sortOrder":"DESC","reverse":true}]},"queryString":null},"numberOfClausesInQuery":1,"executionTime":518,"numberOfResults":6,"collectorType":"TopDocs","name":"com.atlassian.jira.issue.search.metrics.LuceneQueryExecutionEvent"}}
2023-06-02 21:21:30,392 pool-9-thread-1 INFO ServiceRunner     [atlassian-diagnostics-data-logger] 1685730090353 ; INFO ; JQL ; JQL-1001 ; diagnostics.jql.slow_jql_query_info.summary ; not-detected ;  ;  ; {"thread":"http-nio-2990-exec-2","query":"{assignee = currentUser()} AND {resolution = \"unresolved\"} order by priority DESC,created ASC","reason":{"query":{"whereClause":{"clauses":[{"name":"assignee","operator":"EQUALS","operand":{"name":"currentUser","args":[],"displayString":"currentUser()"},"property":{"defined":false,"empty":true,"orNull":null},"clauses":[]},{"name":"resolution","operator":"EQUALS","operand":{"longValue":null,"stringValue":"unresolved","name":"SingleValueOperand","displayString":"\"unresolved\""},"property":{"defined":false,"empty":true,"orNull":null},"clauses":[]}],"name":"AND"},"orderByClause":{"searchSorts":[{"order":"DESC","field":"priority","property":{"defined":false,"empty":true,"orNull":null},"sortOrder":"DESC","reverse":true},{"order":"ASC","field":"created","property":{"defined":false,"empty":true,"orNull":null},"sortOrder":"ASC","reverse":false}]},"queryString":null},"numberOfClausesInQuery":2,"executionTime":1403,"numberOfResults":6,"collectorType":"TopDocs","name":"com.atlassian.jira.issue.search.metrics.LuceneQueryExecutionEvent"}}
2023-06-02 21:35:40,242 pool-9-thread-1 INFO ServiceRunner     [atlassian-diagnostics-data-logger] 1685730940033 ; INFO ; JQL ; JQL-1001 ; diagnostics.jql.slow_jql_query_info.summary ; not-detected ;  ;  ; {"thread":"http-nio-2990-exec-9","query":"project = \"TES\" AND resolution = Unresolved ORDER BY priority DESC, updated DESC","reason":{"query":{"whereClause":{"clauses":[{"name":"project","operator":"EQUALS","operand":{"longValue":null,"stringValue":"TES","name":"SingleValueOperand","displayString":"\"TES\""},"property":{"defined":false,"empty":true,"orNull":null},"clauses":[]},{"name":"resolution","operator":"EQUALS","operand":{"longValue":null,"stringValue":"Unresolved","name":"SingleValueOperand","displayString":"\"Unresolved\""},"property":{"defined":false,"empty":true,"orNull":null},"clauses":[]}],"name":"AND"},"orderByClause":{"searchSorts":[{"order":"DESC","field":"priority","property":{"defined":false,"empty":true,"orNull":null},"sortOrder":"DESC","reverse":true},{"order":"DESC","field":"updated","property":{"defined":false,"empty":true,"orNull":null},"sortOrder":"DESC","reverse":true}]},"queryString":"project = \"TES\" AND resolution = Unresolved ORDER BY priority DESC, updated DESC"},"numberOfClausesInQuery":2,"executionTime":569,"numberOfResults":6,"collectorType":"TopDocs","name":"com.atlassian.jira.issue.search.metrics.LuceneQueryExecutionEvent"}}
2023-06-02 22:40:47,205 pool-9-thread-1 INFO ServiceRunner     [atlassian-diagnostics-data-logger] 1685734846417 ; INFO ; JQL ; JQL-1001 ; diagnostics.jql.slow_jql_query_info.summary ; not-detected ;  ;  ; {"thread":"http-nio-2990-exec-4","query":"project = TES AND resolution = Unresolved ORDER BY priority DESC, updated DESC","reason":{"query":{"whereClause":{"clauses":[{"name":"project","operator":"EQUALS","operand":{"longValue":null,"stringValue":"TES","name":"SingleValueOperand","displayString":"\"TES\""},"property":{"defined":false,"empty":true,"orNull":null},"clauses":[]},{"name":"resolution","operator":"EQUALS","operand":{"longValue":null,"stringValue":"Unresolved","name":"SingleValueOperand","displayString":"\"Unresolved\""},"property":{"defined":false,"empty":true,"orNull":null},"clauses":[]}],"name":"AND"},"orderByClause":{"searchSorts":[{"order":"DESC","field":"priority","property":{"defined":false,"empty":true,"orNull":null},"sortOrder":"DESC","reverse":true},{"order":"DESC","field":"updated","property":{"defined":false,"empty":true,"orNull":null},"sortOrder":"DESC","reverse":true}]},"queryString":"project = TES AND resolution = Unresolved ORDER BY priority DESC, updated DESC"},"numberOfClausesInQuery":2,"executionTime":471,"numberOfResults":6,"collectorType":"TopDocs","name":"com.atlassian.jira.issue.search.metrics.LuceneQueryExecutionEvent"}}
